,アイテム,識別子,ラベル,地域,緯度,経度
443,https://mediaarts-db.bunka.go.jp/id/C46672,C46672,Intersoft,仙台市青葉区雲屋下8-1,38.2590794,140.8658926
444,https://mediaarts-db.bunka.go.jp/id/C46673,C46673,アークライト,東京都千代田区神田小川町一丁目2番地風雲堂ビル2F,35.695475,139.7667654
445,https://mediaarts-db.bunka.go.jp/id/C46659,C46659,Spectrum HoloByte,"2061 Challenger Drive, Alameda, CA, USA",37.7813215,-122.2720562
446,https://mediaarts-db.bunka.go.jp/id/C46645,C46645,キャノン株式会社,https://canon.jp/,,
447,https://mediaarts-db.bunka.go.jp/id/C46646,C46646,Ravensburger Spieleverlag GmbH,"Robert-Bosch-Straße 1, Ravensburg, Germany",47.769731,9.6011572
448,https://mediaarts-db.bunka.go.jp/id/C46642,C46642,ジャイブ株式会社,東京都千代田区麹町4-2-6住友不動産麹町ファーストビル8・9F,35.684158,139.737088
449,https://mediaarts-db.bunka.go.jp/id/C46636,C46636,クリアレーヴ,東京都三鷹市下連雀3-32-3名取屋興産ビル2階201号,35.6988833,139.5608218
450,https://mediaarts-db.bunka.go.jp/id/C46637,C46637,Qvinta Essentia,兵庫県神戸市中央区小野柄通3-1-10-801,34.6947166,135.1999484
451,https://mediaarts-db.bunka.go.jp/id/C46651,C46651,Right Answers,"Torrance, Canada",44.991102,-79.570613
452,https://mediaarts-db.bunka.go.jp/id/C46650,C46650,Ray Corporation,東京都港区六本木6-15-21パークス六本木ビル3F,35.6587496,139.7279636
453,https://mediaarts-db.bunka.go.jp/id/C46648,C46648,Rainbow Arts Software GmbH,"Gütersloh, Düsseldorf, Germany",51.2277411,6.7734556
454,https://mediaarts-db.bunka.go.jp/id/C46643,C46643,コスモエンジニアリング,北海道札幌市白石区中央1条5丁目4-20札幌DAIEIビル,43.054583,141.3985758
455,https://mediaarts-db.bunka.go.jp/id/C46644,C46644,クリスタルソフト株式会社,大阪府大阪市東淀川区豊新3丁目8-11,34.7452691,135.5315273
456,https://mediaarts-db.bunka.go.jp/id/C46647,C46647,オークラ出版,東京都目黒区上目黒一丁目18-6 NMビル,35.6453453,139.6988155
457,https://mediaarts-db.bunka.go.jp/id/C46639,C46639,New Games Order,東京都立川市柴崎町3-10-6イチカワビル2F,35.6951746,139.4131874
458,https://mediaarts-db.bunka.go.jp/id/C46638,C46638,パックス・ソフトニカ株式会社,http://www.softnica.com (Invalid),26.2422553,-98.2362485
459,https://mediaarts-db.bunka.go.jp/id/C46634,C46634,"Progressive Peripherals & Software, Inc.","Denver, Colorado",39.7392358,-104.990251
460,https://mediaarts-db.bunka.go.jp/id/C46635,C46635,PSYGNOSIS LTD.,"Napier Court, Wavertree Technology Park, Liverpool, United Kingdom",53.405205,-2.922909
461,https://mediaarts-db.bunka.go.jp/id/C46631,C46631,Penguin Software,"Geneva, IL, United States",41.8926437,-88.3287896
462,https://mediaarts-db.bunka.go.jp/id/C46633,C46633,imagin Software,"Masons Building, Exchange Street East, Liverpool, United Kingdom",53.4077276,-2.9910786
463,https://mediaarts-db.bunka.go.jp/id/C46626,C46626,OziSoft,"St. Surry Hills, Sydney, Australia",-33.8867758,151.2122703
464,https://mediaarts-db.bunka.go.jp/id/C46627,C46627,PAPATANGO Ltd,"Luton, Bedfordshire, England",51.8786707,-0.4200255
465,https://mediaarts-db.bunka.go.jp/id/C46717,C46717,ファンハウス,東京都渋谷区恵比寿南2-20-7,35.643221,139.709727
466,https://mediaarts-db.bunka.go.jp/id/C46714,C46714,ゲームポット,東京都港区高輪3-26-33 品川ビル 6 F,35.6284713,139.7387597
467,https://mediaarts-db.bunka.go.jp/id/C46711,C46711,アフェクト,東京都目黒区大岡山 1-36-31,35.6106984,139.6799312
468,https://mediaarts-db.bunka.go.jp/id/C46712,C46712,アストロール,東京都渋谷区代々木3-24-3第2梅村ビル5F,35.6851803,139.6927562
469,https://mediaarts-db.bunka.go.jp/id/C46716,C46716,東京書籍メディアフロー,東京都北区,35.7528727,139.7337701
470,https://mediaarts-db.bunka.go.jp/id/C46705,C46705,トレコ,東京都豊島区東池袋2-23-2UBG東池袋ビル6F,35.7311654,139.7220582
471,https://mediaarts-db.bunka.go.jp/id/C46709,C46709,イマ・カンパニー,東京都渋谷区猿楽町9-8代官山パークサイドビルレッジ202,35.6496611,139.7025785
472,https://mediaarts-db.bunka.go.jp/id/C46715,C46715,ツーワン,大阪府大阪市平野区長吉川辺3-14-3,34.5956651,135.576676
473,https://mediaarts-db.bunka.go.jp/id/C46720,C46720,シュピール,東京都大田区東蒲田2-29-14松澤ビル4F,35.562173,139.7256719
474,https://mediaarts-db.bunka.go.jp/id/C46723,C46723,オー・シー・シー株式会社,東京都千代田区外神田4-4-3 小木曽ビル8F,35.7013916,139.7718174
475,https://mediaarts-db.bunka.go.jp/id/C46724,C46724,オープンシステム,東京都武蔵野市吉祥寺本町1-33-3吉祥寺イトウビル1F,35.7042234,139.5832708
476,https://mediaarts-db.bunka.go.jp/id/C46722,C46722,カレイドスコープ,東京都杉並区高円寺南1-17-8,35.700578,139.6557512
477,https://mediaarts-db.bunka.go.jp/id/C46728,C46728,メディアヴィジョン,東京都千代田区二番町4-相互二番町ビルディング5F,35.687086,139.736276
478,https://mediaarts-db.bunka.go.jp/id/C46733,C46733,Schmidt Spiele,"Berlin, Germany",52.5200066,13.404954
479,https://mediaarts-db.bunka.go.jp/id/C46731,C46731,スペースプロジェクト,東京都中央区築地3丁目9番9号 ラウンドクロス築地ビル7階,35.6679582,139.7729778
480,https://mediaarts-db.bunka.go.jp/id/C46734,C46734,セブンエイト,東京都豊島区池袋3-3-5要町マンション702,35.733324,139.6997928
481,https://mediaarts-db.bunka.go.jp/id/C46732,C46732,Avalon Hill Games Inc.,"Baltimore, MD, USA",39.2903848,-76.6121893
482,https://mediaarts-db.bunka.go.jp/id/C46739,C46739,Cinematronics,"El Cajon, California",32.7947731,-116.9625269
483,https://mediaarts-db.bunka.go.jp/id/C46741,C46741,応研株式会社,福岡市中央区天神4丁目2-34応研ビル,33.5939536,130.4000924
484,https://mediaarts-db.bunka.go.jp/id/C46718,C46718,Ashby Computers & Graphics Ltd.,"Ashby-de-la-Zouch, Leicestershire, United Kingdom",52.749212,-1.468618
485,https://mediaarts-db.bunka.go.jp/id/C46695,C46695,VIRGIN GAMES,"Portobello Road, London, UK",51.5153892,-0.2046856
486,https://mediaarts-db.bunka.go.jp/id/C46697,C46697,ビベンディ ユニバーサル ゲームズ,"Torrance, California, U.S.",33.8358492,-118.3406288
487,https://mediaarts-db.bunka.go.jp/id/C46696,C46696,フェザード,東京都新宿区西新宿4-14-7新宿パークサイド永谷804,35.6899246,139.6877474
488,https://mediaarts-db.bunka.go.jp/id/C46699,C46699,ピオーネソフト,東京都千代田区外神田2-4-4,35.6996498,139.7688077
489,https://mediaarts-db.bunka.go.jp/id/C46700,C46700,ピーディ,大阪府大阪市北区西天満5-6-12 GRACE・I　5F/6F,34.6994489,135.5078695
490,https://mediaarts-db.bunka.go.jp/id/C46704,C46704,ヌーサイト,東京都港区赤坂 1-3-3 T-FRONTビル5F,35.670508,139.7437023
491,https://mediaarts-db.bunka.go.jp/id/C46703,C46703,バイス,札幌市中央区北4条西5丁目,43.0658688,141.3481371
492,https://mediaarts-db.bunka.go.jp/id/C46698,C46698,ビジョン,奈良県大和郡山市筒井町463-1-8,34.6218285,135.7805746
493,https://mediaarts-db.bunka.go.jp/id/C46692,C46692,IRIコマース&テクノロジー,東京都新宿区西新宿二丁目6番1号,35.6912129,139.6923608
494,https://mediaarts-db.bunka.go.jp/id/C46688,C46688,アロアロインターナショナル,東京都渋谷区本町4-20-10,35.6882347,139.6792433
495,https://mediaarts-db.bunka.go.jp/id/C46690,C46690,Game Designers' Workshop,"Normal, Illinois USA",40.5142026,-88.9906312
496,https://mediaarts-db.bunka.go.jp/id/C46687,C46687,アミューズメント・ジャーナル,東京都豊島区南大塚2-40-9澤田ビル5F,35.7297241,139.7299371
497,https://mediaarts-db.bunka.go.jp/id/C46686,C46686,アイデス,東京都新宿区高田馬場3-3-3NIAビル4F,,
498,https://mediaarts-db.bunka.go.jp/id/C46679,C46679,ソース,東京都中央区新川1-3-3第17荒井ビル8階,35.6786972,139.7818323
499,https://mediaarts-db.bunka.go.jp/id/C46680,C46680,ソフニル,東京都港区港南二丁目12番23号明産高浜ビル2階,35.6249865,139.745484
500,https://mediaarts-db.bunka.go.jp/id/C46805,C46805,太田出版,東京都新宿区,35.6938253,139.7033559
501,https://mediaarts-db.bunka.go.jp/id/C46853,C46853,ジャストシステム,東京都新宿区,35.6938253,139.7033559
502,https://mediaarts-db.bunka.go.jp/id/C44923,C44923,バリエ,東京都新宿区,35.6938253,139.7033559
503,https://mediaarts-db.bunka.go.jp/id/C46348,C46348,"Lobotomy Software, Inc.","Redmond, WA",47.6739881,-122.121512
504,https://mediaarts-db.bunka.go.jp/id/C44969,C44969,リイカ,東京都新宿区,35.6938253,139.7033559
505,https://mediaarts-db.bunka.go.jp/id/C46416,C46416,ブルフロッグ,"Guildford, UK",51.23622,-0.570409
506,https://mediaarts-db.bunka.go.jp/id/C45010,C45010,東映動画株式会社,東京都新宿区,35.6938253,139.7033559
507,https://mediaarts-db.bunka.go.jp/id/C46457,C46457,FireFly Studios Ltd.,"London, England",51.5072178,-0.1275862
508,https://mediaarts-db.bunka.go.jp/id/C46446,C46446,Sports Interactive Limited,"London, England",51.5072178,-0.1275862
509,https://mediaarts-db.bunka.go.jp/id/C45158,C45158,Team NINJA,東京都新宿区,35.6938253,139.7033559
510,https://mediaarts-db.bunka.go.jp/id/C46587,C46587,Magnetic Scrolls,"London, England",51.5072178,-0.1275862
511,https://mediaarts-db.bunka.go.jp/id/C46670,C46670,ZeniMax Europe Ltd.,"London, England",51.5072178,-0.1275862
512,https://mediaarts-db.bunka.go.jp/id/C46630,C46630,Telecomsoft,"London, England",51.5072178,-0.1275862
513,https://mediaarts-db.bunka.go.jp/id/C45645,C45645,Curve Digital,"London, England",51.5072178,-0.1275862
514,https://mediaarts-db.bunka.go.jp/id/C45676,C45676,ホット・ビィ,東京都新宿区,35.6938253,139.7033559
515,https://mediaarts-db.bunka.go.jp/id/C45637,C45637,Versus Evil LLC,"Austin, Texas, United States",30.267153,-97.7430608
516,https://mediaarts-db.bunka.go.jp/id/C45697,C45697,ナツメ株式会社,東京都新宿区,35.6938253,139.7033559
517,https://mediaarts-db.bunka.go.jp/id/C44735,C44735,GHI Media LLC,"Austin, Texas, United States",30.267153,-97.7430608
518,https://mediaarts-db.bunka.go.jp/id/C44717,C44717,Crystal Dynamics,"Redwood City, California, United States",37.4847955,-122.228141
519,https://mediaarts-db.bunka.go.jp/id/C44770,C44770,Roll7,"London, England",51.5072178,-0.1275862
520,https://mediaarts-db.bunka.go.jp/id/C45302,C45302,Stormfront Studios,"San Rafael, California",37.9735346,-122.5310874
521,https://mediaarts-db.bunka.go.jp/id/C45303,C45303,インターナショナルカードシステム株式会社,東京都渋谷区渋谷3-29-10 SANKYO第2ビル,35.6564536,139.7033032
522,https://mediaarts-db.bunka.go.jp/id/C45305,C45305,マスターピース,"東京都新宿区百人町2丁目27番7号
ハンドレッドサーカスイーストタワー5F",35.7023334,139.6955248
523,https://mediaarts-db.bunka.go.jp/id/C45299,C45299,ガンバリオン,"福岡県福岡市中央区渡辺通2丁目4番8号
福岡小学館ビル4階",33.5819475,130.4028734
524,https://mediaarts-db.bunka.go.jp/id/C45300,C45300,ウエップシステム,東京都新宿区西新宿3丁目8番5号,35.6852857,139.6895833
525,https://mediaarts-db.bunka.go.jp/id/C45301,C45301,フライト・プラン,岐阜県岐阜市,35.4234226,136.7606217
526,https://mediaarts-db.bunka.go.jp/id/C45304,C45304,Eden Games,"Lyon, France",45.764043,4.835659
527,https://mediaarts-db.bunka.go.jp/id/C45306,C45306,マトリックス,東京都新宿区,35.6938253,139.7033559
528,https://mediaarts-db.bunka.go.jp/id/C45307,C45307,Sucker Punch Productions,"Bellevue, Washington, United States",47.6101497,-122.2015159
529,https://mediaarts-db.bunka.go.jp/id/C45308,C45308,epics,東京都中央区日本橋茅場町2丁目13番13号共同ビル4F,35.6792275,139.7801051
530,https://mediaarts-db.bunka.go.jp/id/C45311,C45311,ミレニアムキッチン,東京都豊島区池袋4-17-3-314,35.7392191,139.7076877
531,https://mediaarts-db.bunka.go.jp/id/C45310,C45310,Image Space Incorporated,"Ann Arbor, Michigan, US",42.2808256,-83.7430378
532,https://mediaarts-db.bunka.go.jp/id/C45314,C45314,シング,"福岡県福岡市中央区舞鶴2丁目1-10
福岡ロプロビル8階",33.5909384,130.391663
533,https://mediaarts-db.bunka.go.jp/id/C45313,C45313,Black Ops Entertainment,"Santa Monica, California, US.",34.0194543,-118.4911912
534,https://mediaarts-db.bunka.go.jp/id/C45315,C45315,Visceral Games,"Redwood City, California, United States",37.4847955,-122.228141
535,https://mediaarts-db.bunka.go.jp/id/C45318,C45318,Acclaim Studios Austin,"Austin, Texas, United States",30.267153,-97.7430608
