アイテム,識別子,ラベル,地域,緯度,経度
https://mediaarts-db.bunka.go.jp/id/C46651,C46651,Right Answers,"Torrance, Canada",,
https://mediaarts-db.bunka.go.jp/id/C46650,C46650,Ray Corporation,東京都港区六本木6-15-21パークス六本木ビル3F,,
https://mediaarts-db.bunka.go.jp/id/C46648,C46648,Rainbow Arts Software GmbH,"Gütersloh, Düsseldorf, Germany",,
https://mediaarts-db.bunka.go.jp/id/C46643,C46643,コスモエンジニアリング,北海道札幌市白石区中央1条5丁目4-20札幌DAIEIビル,,
https://mediaarts-db.bunka.go.jp/id/C46644,C46644,クリスタルソフト株式会社,大阪府大阪市東淀川区豊新3丁目8-11,,
https://mediaarts-db.bunka.go.jp/id/C46647,C46647,オークラ出版,東京都目黒区上目黒一丁目18-6 NMビル,,
https://mediaarts-db.bunka.go.jp/id/C46639,C46639,New Games Order,東京都立川市柴崎町3-10-6イチカワビル2F,,
https://mediaarts-db.bunka.go.jp/id/C46638,C46638,パックス・ソフトニカ株式会社,http://www.softnica.com (Invalid),,
https://mediaarts-db.bunka.go.jp/id/C46634,C46634,"Progressive Peripherals & Software, Inc.","Denver, Colorado",,
https://mediaarts-db.bunka.go.jp/id/C46635,C46635,PSYGNOSIS LTD.,"Napier Court, Wavertree Technology Park, Liverpool, United Kingdom",,
https://mediaarts-db.bunka.go.jp/id/C46631,C46631,Penguin Software,"Geneva, IL, United States",,
https://mediaarts-db.bunka.go.jp/id/C46633,C46633,imagin Software,"Masons Building, Exchange Street East, Liverpool, United Kingdom",,
https://mediaarts-db.bunka.go.jp/id/C46626,C46626,OziSoft,"St. Surry Hills, Sydney, Australia",,
https://mediaarts-db.bunka.go.jp/id/C46627,C46627,PAPATANGO Ltd,"Luton, Bedfordshire, England",,
https://mediaarts-db.bunka.go.jp/id/C46717,C46717,ファンハウス,東京都渋谷区恵比寿南2-20-7,,
https://mediaarts-db.bunka.go.jp/id/C46714,C46714,ゲームポット,東京都港区高輪3-26-33 品川ビル 6 F,,
https://mediaarts-db.bunka.go.jp/id/C46711,C46711,アフェクト,東京都目黒区大岡山 1-36-31,,
https://mediaarts-db.bunka.go.jp/id/C46712,C46712,アストロール,東京都渋谷区代々木3-24-3第2梅村ビル5F,,
https://mediaarts-db.bunka.go.jp/id/C46716,C46716,東京書籍メディアフロー,東京都北区,,
https://mediaarts-db.bunka.go.jp/id/C46705,C46705,トレコ,東京都豊島区東池袋2-23-2UBG東池袋ビル6F,,
https://mediaarts-db.bunka.go.jp/id/C46709,C46709,イマ・カンパニー,東京都渋谷区猿楽町9-8代官山パークサイドビルレッジ202,,
https://mediaarts-db.bunka.go.jp/id/C46715,C46715,ツーワン,大阪府大阪市平野区長吉川辺3-14-3,,
https://mediaarts-db.bunka.go.jp/id/C46720,C46720,シュピール,東京都大田区東蒲田2-29-14松澤ビル4F,,
https://mediaarts-db.bunka.go.jp/id/C46723,C46723,オー・シー・シー株式会社,東京都千代田区外神田4-4-3 小木曽ビル8F,,
https://mediaarts-db.bunka.go.jp/id/C46724,C46724,オープンシステム,東京都武蔵野市吉祥寺本町1-33-3吉祥寺イトウビル1F,,
